abacial
abadal
abadenc
abadenca
abaldufat
abaldufada
abalit
abalida
abandonista
abaritonat
abaritonada
abarnegat
abarnegada
abassegador
abassegadora
abastable
abastador
abastadora
abatedor
abatedora
abatible
abatussat
abatussada
abdicant
abdicatiu
abdicativa
abdominal
abducent
abductor
abductora
abecedari
abecedària
abellenc
abellenca
abeller
abellera
abeller
abellera
abellidor
abellidora
aberrant
aberrugat
aberrugada
abestiat
abestiada
abismador
abismadora
abismal
abissal
abissini
abissínia
abjecte
abjecta
abjurador
abjuradora
abjuratori
abjuratòria
ablanidor
ablanidora
ablatiu
ablativa
abluent
abnegat
abnegada
abolible
abolicionista
abombollat
abombollada
abominable
abonable
abonador
abonadora
abordable
abordador
abordadora
aborigen
aborronador
aborronadora
abortiu
abortiva
abracadabrant
abrainat
abrainada
abrandat
abrandada
abranquiat
abranquiada
abrasador
abrasadora
abrasant
abrasiu
abrasiva
abreujable
abreujador
abreujadora
abreviador
abreviadora
abreviatiu
abreviativa
abrilat
abrilada
abrilenc
abrilenca
abrillantador
abrillantadora
abrogable
abrogatiu
abrogativa
abrupte
abrupta
abrusador
abrusadora
abscís
abscissa
absent
absentista
absidal
absolut
absoluta
absolutista
absolutori
absolutòria
absorbefaent
absorbent
absorbible
absorbidor
absorbidora
absort
absorta
absortiu
absortiva
abstemi
abstèmia
abstencionista
abstergent
abstersiu
abstersiva
abstinent
abstracte
abstracta
abstractiu
abstractiva
absurd
absurda
abundant
abunyolat
abunyolada
abusador
abusadora
abusiu
abusiva
acabable
acabador
acabadora
acabat
acabada
academicista
acadenat
acadenada
acaliuat
acaliuada
acalorat
acalorada
acalorador
acaloradora
acalorat
acalorada
acampador
acampadora
acampte
acampta
acanalat
acanalada
acantaci
acantàcia
acantopterigi
acantopterígia
acaparador
acaparadora
acariciador
acariciadora
acaricida
acaronador
acaronadora
acasat
acasada
acaserat
acaserada
acassolat
acassolada
acaule
acaulescent
accadi
accàdia
accedent
accelerador
acceleradora
acceleratriu
accelerador
acceleradora
acceleratriu
accentuable
accentual
accentuat
accentuada
acceptable
acceptador
acceptadora
acceptant
accepte
accepta
accessible
accessori
accessòria
acci
àccia
accidental
accidentalista
accidentat
accidentada
acelomat
acelomada
acerb
acerba
acervat
acervada
acescent
acicular
aciculat
aciculada
aciculifoli
aciculifòlia
aciculiforme
acidificable
acidificant
acidogen
acidògena
aciforme
acinaciforme
acinglat
acinglada
acinglerat
acinglerada
aciniforme
aclamador
aclamadora
aclamatori
aclamatòria
aclamidi
aclamídia
aclaparador
aclaparadora
aclaridor
aclaridora
aclavellat
aclavellada
aclimatable
aclofollat
aclofollada
acneic
acneica
acoblable
acoblant
acollatant
acollent
acollidor
acollidora
acolorit
acolorida
acomodable
acomodador
acomodadora
acomodatici
acomodatícia
acomodatiu
acomodativa
acompanyable
acompanyador
acompanyadora
acompanyant
aconfessional
aconseguidor
aconseguidora
aconsellable
aconsellador
aconselladora
acontraltat
acontraltada
acorador
acoradora
acordable
acordant
acornat
acornada
acorralador
acorraladora
acostumable
acostumat
acostumada
acotiledoni
acotiledònia
acranial
acre
acreditable
acreditatiu
acreditativa
acrescent
acriaturat
acriaturada
acrocarp
acrocarpa
acrodont
acrodonta
acrogen
acrògena
acrogin
acrògina
acromial
actinal
actinoftalm
actinoftalma
actinomorf
actinomorfa
actiu
activa
activador
activadora
activista
actor
actora
actual
actuant
actuarial
acubador
acubadora
aculeat
aculeada
acumbent
acuminat
acuminada
acumulable
acumulador
acumuladora
acumulatiu
acumulativa
acurat
acurada
acusable
acusador
acusadora
acusat
acusada
acusatori
acusatòria
acutangle
adaptable
adaptador
adaptadora
adaxial
addicionable
addicional
addicte
addicta
addictiu
addictiva
additiu
additiva
adductor
adductora
adeliciat
adeliciada
ademusser
ademussera
adenoidal
adenoide
adepte
adepta
adequat
adequada
adherent
adhesiu
adhesiva
adiamantat
adiamantada
adient
adjacent
adjectiu
adjectiva
adjectivador
adjectivadora
adjectival
adjudicable
adjudicador
adjudicadora
adjudicatari
adjudicatària
adjudicatiu
adjudicativa
adjunt
adjunta
adjuntiu
adjuntiva
adjutor
adjutora
adjuvant
adminicular
administrable
administrador
administradora
administratiu
administrativa
admirable
admirador
admiradora
admiratiu
admirativa
admissible
admonitor
admonitora
admonitori
admonitòria
adnat
adnata
adobable
adobador
adobadora
adoctrinable
adoctrinador
adoctrinadora
adolescent
adolorit
adolorida
adopcionista
adoptable
adoptiu
adoptiva
adorable
adorador
adoradora
adoral
adormidor
adormidora
adornable
adornador
adornadora
adovellat
adovellada
adquirible
adquiridor
adquiridora
adquisitiu
adquisitiva
adret
adreta
adsorbent
adulador
aduladora
adulatori
adulatòria
adult
adulta
adulterable
adulterador
adulteradora
adurent
adust
adusta
adustiu
adustiva
advectiu
advectiva
adventici
adventícia
adventista
adventual
adverbial
adverbialitzador
adverbialitzadora
advers
adversa
adversari
adversària
adversatiu
adversativa
advertidor
advertidora
advocadesc
advocadesca
aeri
aèria
aeriforme
aerobi
aeròbia
aeroespacial
aeronaval
aeropostal
aerorefrigerant
afable
afaenat
afaenada
afalagador
afalagadora
afanador
afanadora
afaneta
afavoridor
afavoridora
afeblidor
afeblidora
afectable
afectat
afectada
afecte
afecta
afectiu
afectiva
afegible
afegidor
afegidora
afemellat
afemellada
aferent
aferrant
aferrissat
aferrissada
aficionat
aficionada
afigat
afigada
afiliable
afinable
afinat
afinada
afirmatiu
afirmativa
afix
afixa
afixable
afixal
aflautat
aflautada
aflicte
aflicta
aflictiu
aflictiva
afligidor
afligidora
aflotonat
aflotonada
afluent
afocat
afocada
afolcat
afolcada
afollador
afolladora
aforador
aforadora
afortunat
afortunada
afranquidor
afranquidora
africanista
afrontador
afrontadora
afruitat
afruitada
agabellador
agabelladora
agafat
agafada
agafador
agafadora
agafant
aganat
aganada
agaricoide
agent
agentiu
agentiva
agitable
agitador
agitadora
agitanat
agitanada
agitat
agitada
aglaner
aglanera
aglomerador
aglomeradora
aglutinable
aglutinador
aglutinadora
aglutinant
aglutinatiu
aglutinativa
agminat
agminada
agnatici
agnatícia
agombolador
agomboladora
agomfi
agòmfia
agonal
agonista
agonitzant
agosarat
agosarada
agostenc
agostenca
agoster
agostera
agradable
agradant
agramatical
agramuntès
agramuntesa
agrari
agrària
agrassenc
agrassenca
agrasser
agrassera
agre
agra
agregable
agregatiu
agregativa
agrenc
agrenca
agrer
agrera
agresolat
agresolada
agressiu
agressiva
agressor
agressora
agrest
agresta
agreujant
agroalimentari
agroalimentària
agroner
agronera
agropecuari
agropecuària
aguaitador
aguaitadora
aguilenc
aguilenca
aguitarrat
aguitarrada
agullonador
agullonadora
agut
aguda
aiguader
aiguadera
aigual
aiguardentí
aiguardentina
aimara
ainu
aireferit
aireferida
aital
aixafadís
aixafadissa
aixambergat
aixambergada
aixaropat
aixaropada
ajogassat
ajogassada
ajornable
ajudador
ajudadora
ajudant
ajustat
ajustada
ajustador
ajustadora
ajustat
ajustada
alabaix
alabaixa
alabardat
alabardada
alabardat
alabardada
alablanc
alablanca
alablau
alablava
alacaigut
alacaiguda
alaferit
alaferida
alallarg
alallarga
alalligat
alalligada
alapintat
alapintada
alaquaser
alaquasera
alar
alarmant
alarmista
alatrencat
alatrencada
alauita
alb
alba
alb
alba
albardera
albenc
albenca
albicant
albirador
albiradora
albuferenc
albuferenca
albuminoide
alcaic
alcaica
alcaldable
alcalescent
alcalinoterri
alcalinotèrria
alcaloide
alcasser
alcassera
alcista
alcovat
alcovada
aldaier
aldaiera
aleatori
aleatòria
alegre
alemany
alemanya
alentidor
alentidora
alesiat
alesiada
aleuta
alfabet
alfabeta
alforrador
alforradora
alforre
alforra
alforro
alforra
algal
algebraic
algebraica
algefaent
algemesinenc
algemesinenca
aliable
aliancista
alible
alienable
alienador
alienadora
alienant
alienista
aliforme
alimentador
alimentadora
alimentari
alimentària
aliquanta
aljamiat
aljamiada
allargador
allargadora
alleugeridor
alleugeridora
alleujable
alleujador
alleujadora
alliberable
alliberador
alliberadora
allunat
allunada
allunyat
allunyada
almohade
alodial
aloer
aloera
aloma
alpestre
alt
alta
alt
alta
altaic
altaica
altazimutal
alterable
alterador
alteradora
alteratiu
alterativa
altern
alterna
alternant
alternatiu
alternativa
alternatiu
alternativa
altisonant
altitonant
altiu
altiva
altre
altra
altruista
alveolar
alveolat
alveolada
alzireny
alzirenya
amable
amador
amadora
amagador
amagadora
amalecita
amalequita
amalgamant
amant
amanyagador
amanyagadora
amanyat
amanyada
amarg
amarga
amargant
amatat
amatada
amatent
amateur
amatiu
amativa
amatollat
amatollada
amatori
amatòria
amazic
amaziga
ambidextre
ambidextra
ambient
ambientador
ambientadora
ambiental
ambigu
ambigua
ambivalent
amblador
ambladora
ambrat
ambrada
ambulacral
ambulant
ambulatori
ambulatòria
amebeu
amebea
ameboide
amenorreic
amenorreica
amentaci
amentàcia
amentiforme
amerindi
ameríndia
amesurat
amesurada
ametllat
ametllada
ametrop
amfibi
amfíbia
amfisci
amfíscia
amforal
amic
amiga
amical
amidable
amigable
amigdalí
amigdalina
amigdaloide
amiguer
amiguera
amilaci
amilàcia
amiloide
aminat
aminada
aminobenzoic
aminobenzoica
ammonita
amniota
amoixador
amoixadora
amonestador
amonestadora
amoniacal
amoral
amorf
amorfa
amorf
amorfa
amorosenc
amorosenca
amorreu
amorrea
amortidor
amortidora
amortitzable
amovible
ample
ampla
amplexicaule
ampli
àmplia
ampliable
ampliador
ampliadora
ampliatiu
ampliativa
amplificador
amplificadora
amplificatiu
amplificativa
amuntegador
amuntegadora
amunter
amuntera
anabaptista
anabolitzant
anacrogin
anacrògina
anaerobi
anaeròbia
anafrodita
anal
analfabet
analfabeta
analista
analitzable
analitzador
analitzadora
anamniota
anandre
anandra
anant
anarcosindicalista
anarquista
anarquitzant
anartre
anartra
ancat
ancada
ancat
ancada
ancestral
anconal
ancut
ancuda
andarec
andarega
andritxol
andritxola
androdioic
androdioica
androgen
andrògena
androgin
andrògina
androide
andromonoic
andromonoica
anecoic
anecoica
aneder
anedera
aneroide
anestable
anestesista
aneuenc
aneuenca
aneuploide
aneurismal
angelical
angiosperm
angiosperma
angloindi
angloíndia
anglonormand
anglonormanda
angloparlant
angoixant
angost
angosta
anguiforme
angular
angulat
angulada
anhidre
anhidra
anihilador
anihiladora
animable
animador
animadora
animal
animaler
animalera
animalista
animat
animada
animista
anivellable
anivellador
anivelladora
annamita
anner
annera
annex
annexa
annexionista
annonari
annonària
anoienc
anoienca
anorc
anorca
anormal
anorreador
anorreadora
anovulatori
anovulatòria
antagonista
antebraquial
antec
anteca
antecedent
antenat
antenada
anteniforme
antenupcial
anterior
antiadherent
antiaeri
antiaèria
antic
antiga
anticatarral
anticipant
anticlerical
anticlinal
anticoagulant
anticomunista
anticonceptiu
anticonceptiva
anticongelant
anticonstitucional
anticorrosiu
anticorrosiva
anticultural
antideflagrant
antidepressiu
antidepressiva
antidetonant
antidiarreic
antidiarreica
antiescumejant
antiescumejant
antiesportiu
antiesportiva
antifebril
antifeixista
antiforme
antihemorroidal
antihorari
antihoraria
antiimperialista
antiincrustant
antiinflamatori
antiinflamatòria
antilliscant
antimilitarista
antimonat
antimonada
antimonial
antimonopolista
antimutagen
antimutàgena
antinatalista
antinatural
antinodal
antinuclear
antioxidant
antiozonant
antiparasitari
antiparasitària
antiparlamentari
antiparlamentària
antiperspirant
antipestilencial
antiprincipal
antiputrescent
antiquat
antiquada
antireglamentari
antireglamentària
antirevolucionari
antirevolucionària
antirotatori
antirotatòria
antisci
antíscia
antisemita
antisocial
antisolar
antisonor
antisonora
antiterrorista
antitranspirant
antitrinitari
antitrinitària
antitussigen
antitussígena
antiveneri
antivenèria
antropoide
antropomorf
antropomorfa
anual
anuent
anular
anunciador
anunciadora
anunciant
anur
anura
anxovat
anxovada
anxover
anxovera
anyal
anyenc
anyenca
anyer
anyera
apadrinador
apadrinadora
apagable
apagador
apagadora
apagesat
apagesada
apaivagable
apaivagador
apaivagadora
aparellador
aparelladora
aparent
aparrat
aparrada
apartador
apartadora
apassionant
apassionat
apassionada
apatxe
apedregador
apedregadora
apendicular
apendiculat
apendiculada
apenjollat
apenjollada
apercebible
aperceptiu
aperceptiva
aperitiu
aperitiva
apersonat
apersonada
aperturista
apetent
apetible
apetitiu
apetitiva
apetxinat
apetxinada
apical
apicoalveolar
apicodental
apicular
apiculat
apiculada
apilador
apiladora
aplacentat
aplacentada
aplanador
aplanadora
aplanador
aplanadora
aplanetat
aplanetada
